tag,count,company,possible parent
auto plus,381,,
buying activity,381,,
19,379,,
pre,379,,
uk data,378,,
2021,378,,
bridge political,377,,
net worth,376,,
il,376,,
extended scale,376,,
nielsen restaurants,374,,
subway,373,,
cpg categories,373,,
global comscore,372,,
wisconsin,371,,
ikea,371,,
hotels & lodging,371,,
samsung,370,,
human resources,369,,
business and industrial,369,,
mobile app installs,368,,
personas,368,,
visualdna lifestyle,368,,
interest targeting,367,,
cpg brands,367,,
install data,366,,
convenience stores,365,,
brand discovery,365,,
schober,364,,
consumer activity,364,,
android app install,364,,
apac lifesight,364,,
porsche,363,,
series,362,,
kortx test advertiser,362,,
fl,360,,
alabama,360,,
nh,360,,
visitors,359,,
validated demographic,359,,
light,358,,
v2,358,,
south america,358,,
louisiana,358,,
dun and bradstreet,358,,
restricted to best practices,357,,
+,357,,
gravy & v12,357,,
mobile phones,355,,
demos,355,,
hitwise,355,,
nielsen it,355,,
creative,354,,
consumer traits,354,,
golf,353,,
4,353,,
car rental,353,,
back to school,353,,
39,352,,
android,351,,
land rover,351,,
iowa,351,,
photography,350,,
deterministe,349,,
ga,347,,
desktop/mobile web,347,,
confirm languages with ias,347,,
hair care,346,,
maine,346,,
mississippi,346,,
manufacturer,346,,
parents,345,,
nielsen de,345,,
mn,343,,
analytics iq,343,,
beauty products,342,,
$1,342,,
home and wellness,342,,
health and fitness,341,,
target,341,,
persona,341,,
ga category,341,,
connecticut,340,,
alc auto,340,,
audience now by fluent,340,,
6,338,,
kentucky,338,,
oklahoma,338,,
profound,338,,
house,337,,
new mover,337,,
directv,336,,
apparel shoppers,336,,
special events,336,,
forbes,336,,
dm,336,,
delidatax sp,336,,
custom characteristics,335,,
thd,335,,
holiday shoppers,334,,
consumer goods,334,,
job title,333,,
consumer services,332,,
benz,332,,
books,332,,
datalogix uk,332,,
frais libre service,332,,
hors fruits et legumes,332,,
physicians by specialty,331,,
qsr restaurants,330,,
health care,330,,
automotive in,330,,
sa3,330,,
apn,329,,
types,329,,
infogroup corporate,329,,
exelate tw interest,329,,
b2b targets by whotoo,328,,
claritas tech,328,,
life event,327,,
ce,327,,
media consumption,327,,
copy,327,,
acxiom us financial,327,,
discretionary spend,326,,
individual,325,,
number of purchases,325,,
appliance,324,,
exelate hk interest,324,,
cinema,323,,
shoes,322,,
magazines,322,,
home appliances,322,,
new jersey,322,,
behaviour,322,,
mini,321,,
comedy,321,,
claritas retail,321,,
global dataxpand,321,,
b2b company name by industry,321,,
arizona,320,,
maryland,320,,
b2b predictive analytics,320,,
adadvisor business audiences,319,,
vehicles,319,,
segmentation,319,,
uk caci,318,,
kansas,317,,
adality,317,,
orange oad,317,,
retail transactions,317,,
audience now + by fluent,317,,
medical/health,316,,
walmart,316,,
nielsen financial,316,,
health insurance,315,,
baby,315,,
healthcare professional,314,,
by category,314,,
small,313,,
29,313,,
experian uk,313,,
rb,313,,
nielsen social,313,,
vehicle model,312,,
professionals,310,,
campaign,310,,
ask.fm,310,,
21,309,,
lotame acr smarttv powered by inscape,309,,
fox,308,,
consumer profiles,308,,
business & finance,307,,
salty snacks,307,,
ott & ctv,307,,
entertainment viewership,307,,
homebound and work from home,307,,
infogroup business and professional,306,,
7. interets,306,,
abc,305,,
ethnic,305,,
health and personal care,304,,
16,303,,
household products,303,,
fmcg,303,,
atm,303,,
lapsed,303,,
car rentals,302,,
aarp,302,,
id,302,,
interest and activity,302,,
departement,302,,
physicians,301,,
"odc, branded",301,,
kbm group vehicle data,300,,
food & dining,300,,
automotive dealerships,300,,
airlines frequent flyers,299,,
19 social distancing,299,,
nielsen travel,298,,
religion,297,,
single,297,,
consumer financial insights,297,,
telecom,297,,
publishing,296,,
retail trade,296,,
arkansas,296,,
finland,296,,
holidays,296,,
classes,296,,
private label,296,,
