,Data Provider Name,Data Provider ID,Segment ID,Segment Name
242,Lotame,422,1873728,automobile brands - audi (lotame)
243,Lotame,422,1873729,automobile brands - bentley (lotame)
244,Lotame,422,1873739,automobile brands - bmw (lotame)
245,Lotame,422,1873743,automobile brands - buick (lotame)
246,Lotame,422,1873768,automobile brands - cadillac (lotame)
247,Lotame,422,1873770,automobile brands - chevrolet (lotame)
248,Lotame,422,1873772,automobile brands - chrysler (lotame)
249,Lotame,422,1873773,automobile brands - dodge (lotame)
250,Lotame,422,1873777,automobile brands - ferrari (lotame)
251,Lotame,422,1873781,automobile brands - fiat (lotame)
252,Lotame,422,1873783,automobile brands - ford (lotame)
253,Lotame,422,1873786,automobile brands - general motors (lotame)
254,Lotame,422,1873784,automobile brands - gmc (lotame)
255,Lotame,422,1873787,automobile brands - honda (lotame)
256,Lotame,422,1873789,automobile brands - hummer (lotame)
257,Lotame,422,1873791,automobile brands - hyundai (lotame)
258,Lotame,422,1873792,automobile brands - infiniti (lotame)
259,Lotame,422,1873794,automobile brands - isuzu (lotame)
260,Lotame,422,1873795,automobile brands - jaguar (lotame)
261,Lotame,422,1873796,automobile brands - jeep (lotame)
262,Lotame,422,1873798,automobile brands - kia (lotame)
263,Lotame,422,1873799,automobile brands - lamborghini (lotame)
264,Lotame,422,1873800,automobile brands - land rover (lotame)
265,Lotame,422,1873802,automobile brands - lexus (lotame)
266,Lotame,422,1873803,automobile brands - lincoln (lotame)
267,Lotame,422,1873804,automobile brands - maserati (lotame)
268,Lotame,422,1873806,automobile brands - mazda (lotame)
269,Lotame,422,1873823,automobile brands - mercedes benz (lotame)
270,Lotame,422,1873824,automobile brands - mercury (lotame)
271,Lotame,422,1873825,automobile brands - mini (lotame)
272,Lotame,422,1873826,automobile brands - mitsubishi (lotame)
273,Lotame,422,1873828,automobile brands - nissan (lotame)
274,Lotame,422,1873829,automobile brands - pontiac (lotame)
275,Lotame,422,1873830,automobile brands - porsche (lotame)
276,Lotame,422,1873831,automobile brands - saab (lotame)
277,Lotame,422,1873832,automobile brands - saturn (lotame)
278,Lotame,422,1873833,automobile brands - scion (lotame)
279,Lotame,422,1873834,automobile brands - subaru (lotame)
280,Lotame,422,1873835,automobile brands - suzuki (lotame)
281,Lotame,422,1873836,automobile brands - toyota (lotame)
282,Lotame,422,1873853,automobile brands - volkswagen (lotame)
283,Lotame,422,1873854,automobile brands - volvo (lotame)
284,Lotame,422,1918685,automobile models - acura mdx (lotame)
285,Lotame,422,1918694,automobile models - acura rdx (lotame)
286,Lotame,422,1918696,automobile models - acura rl (lotame)
287,Lotame,422,1918697,automobile models - acura tl (lotame)
288,Lotame,422,1918698,automobile models - acura tsx (lotame)
289,Lotame,422,1918700,automobile models - acura zdx (lotame)
290,Lotame,422,1918701,automobile models - audi a3 (lotame)
291,Lotame,422,1918702,automobile models - audi a4 (lotame)
292,Lotame,422,1918707,automobile models - audi a6 (lotame)
293,Lotame,422,1918708,automobile models - audi a8 (lotame)
294,Lotame,422,1918709,automobile models - audi q5 (lotame)
295,Lotame,422,1918712,automobile models - audi q7 (lotame)
296,Lotame,422,1918959,automobile models - audi tt (lotame)
297,Lotame,422,1918975,automobile models - bmw x3 (lotame)
298,Lotame,422,1918979,automobile models - bmw x5 (lotame)
299,Lotame,422,1918986,automobile models - bmw x6 (lotame)
300,Lotame,422,1918989,automobile models - buick century (lotame)
301,Lotame,422,1918991,automobile models - buick enclave (lotame)
302,Lotame,422,1918993,automobile models - buick lacrosse (lotame)
303,Lotame,422,1918996,automobile models - buick lesabre (lotame)
304,Lotame,422,1918999,automobile models - buick lucerne (lotame)
305,Lotame,422,1919000,automobile models - buick regal (lotame)
306,Lotame,422,1919002,automobile models - buick verano (lotame)
307,Lotame,422,1919003,automobile models - cadillac ats (lotame)
308,Lotame,422,1919004,automobile models - cadillac cts (lotame)
309,Lotame,422,1919005,automobile models - cadillac escalade (lotame)
